instance_id,window_accuracy,window_kappa,cumulative_accuracy,cumulative_kappa,region_already_present
118,-1,-1,77.35849056603774,-0.0443349753694583,1
119,-1,-1,77.35849056603774,-0.0443349753694583,1
120,-1,-1,77.35849056603774,-0.0443349753694583,1
121,-1,-1,77.35849056603774,-0.0443349753694583,1
122,-1,-1,77.35849056603774,-0.0443349753694583,1
123,-1,-1,77.35849056603774,-0.0443349753694583,1
124,-1,-1,77.35849056603774,-0.0443349753694583,1
125,-1,-1,77.35849056603774,-0.0443349753694583,1
126,-1,-1,77.35849056603774,-0.0443349753694583,1
127,-1,-1,77.35849056603774,-0.0443349753694583,1
128,-1,-1,77.35849056603774,-0.0443349753694583,1
129,-1,-1,77.35849056603774,-0.0443349753694583,1
130,-1,-1,77.35849056603774,-0.0443349753694583,1
131,-1,-1,77.35849056603774,-0.0443349753694583,1
132,-1,-1,77.35849056603774,-0.0443349753694583,1
133,-1,-1,77.35849056603774,-0.0443349753694583,1
134,-1,-1,77.35849056603774,-0.0443349753694583,1
135,-1,-1,77.35849056603774,-0.0443349753694583,1
136,-1,-1,77.35849056603774,-0.0443349753694583,1
137,-1,-1,77.35849056603774,-0.0443349753694583,1
138,-1,-1,77.35849056603774,-0.0443349753694583,1
139,-1,-1,77.35849056603774,-0.0443349753694583,1
140,-1,-1,77.35849056603774,-0.0443349753694583,1
141,-1,-1,77.35849056603774,-0.0443349753694583,1
142,-1,-1,77.35849056603774,-0.0443349753694583,1
143,-1,-1,77.35849056603774,-0.0443349753694583,1
144,-1,-1,77.35849056603774,-0.0443349753694583,1
145,-1,-1,77.35849056603774,-0.0443349753694583,1
146,-1,-1,77.35849056603774,-0.0443349753694583,1
147,-1,-1,77.35849056603774,-0.0443349753694583,1
148,-1,-1,77.35849056603774,-0.0443349753694583,1
149,-1,-1,77.35849056603774,-0.0443349753694583,1
150,-1,-1,77.35849056603774,-0.0443349753694583,1
151,-1,-1,77.35849056603774,-0.0443349753694583,1
152,-1,-1,77.35849056603774,-0.0443349753694583,1
153,-1,-1,77.35849056603774,-0.0443349753694583,1
