instance_id,window_accuracy,window_kappa,cumulative_accuracy,cumulative_kappa,region_already_present
0,-1,-1,0.0,0.0,1
1,-1,-1,0.0,0.0,1
2,-1,-1,0.0,0.0,1
3,-1,-1,0.0,0.0,1
4,-1,-1,0.0,0.0,1
5,-1,-1,16.666666666666664,0.03225806451612901,1
6,-1,-1,14.285714285714285,0.04545454545454544,1
7,-1,-1,12.5,0.05084745762711865,1
8,-1,-1,11.11111111111111,0.05263157894736842,1
9,-1,-1,10.0,0.052631578947368425,1
10,-1,-1,9.090909090909092,0.04347826086956522,1
11,-1,-1,16.666666666666664,0.07692307692307691,1
12,-1,-1,15.384615384615385,0.06535947712418301,1
13,-1,-1,21.428571428571427,0.08875739644970411,1
14,-1,-1,26.666666666666668,0.10810810810810813,1
15,-1,-1,31.25,0.12437810945273632,1
16,-1,-1,35.294117647058826,0.13824884792626727,1
17,-1,-1,38.88888888888889,0.1502145922746781,1
18,-1,-1,42.10526315789473,0.16064257028112447,1
19,-1,-1,40.0,0.16666666666666674,1
20,-1,-1,38.095238095238095,0.1702127659574468,1
21,-1,-1,36.36363636363637,0.17204301075268819,1
22,-1,-1,39.130434782608695,0.18274111675126906,1
23,-1,-1,41.66666666666667,0.19230769230769235,1
24,-1,-1,40.0,0.17582417582417584,1
25,-1,-1,42.30769230769231,0.18410041841004182,1
26,-1,-1,40.74074074074074,0.16923076923076918,1
27,-1,-1,42.857142857142854,0.17647058823529405,1
28,-1,-1,44.827586206896555,0.1830985915492958,1
29,-1,-1,46.666666666666664,0.18918918918918923,1
30,-1,-1,48.38709677419355,0.19480519480519484,1
31,-1,-1,50.0,0.2,1
32,-1,-1,51.515151515151516,0.20481927710843373,1
33,-1,-1,52.94117647058824,0.2093023255813954,1
34,-1,-1,54.285714285714285,0.21348314606741567,1
35,-1,-1,55.55555555555556,0.21739130434782608,1
36,-1,-1,54.054054054054056,0.202788339670469,1
37,-1,-1,55.26315789473685,0.2063882063882064,1
38,-1,-1,56.41025641025641,0.2097735399284863,1
39,-1,-1,57.49999999999999,0.21296296296296294,1
40,-1,-1,56.09756097560976,0.1995661605206074,1
41,-1,-1,57.14285714285714,0.20253164556962028,1
42,-1,-1,58.139534883720934,0.2053388090349076,1
43,-1,-1,59.09090909090909,0.20799999999999996,1
44,-1,-1,60.0,0.2105263157894737,1
45,-1,-1,60.86956521739131,0.21292775665399244,1
46,-1,-1,61.702127659574465,0.21521335807050093,1
47,-1,-1,62.5,0.21739130434782603,1
48,-1,-1,61.224489795918366,0.2049530315969256,1
49,-1,-1,62.0,0.20701168614357277,1
50,-1,-1,62.745098039215684,0.2089795918367347,1
51,-1,-1,63.46153846153846,0.21086261980830678,1
52,-1,-1,64.15094339622641,0.212666145426114,1
53,-1,-1,62.96296296296296,0.20118343195266264,1
54,-1,-1,63.63636363636363,0.2028985507246376,1
55,-1,-1,64.28571428571429,0.20454545454545456,1
56,-1,-1,64.91228070175438,0.20612813370473543,1
57,-1,-1,63.793103448275865,0.19550858652575961,1
58,-1,-1,64.40677966101694,0.19701879455605964,1
59,-1,-1,65.0,0.19847328244274812,1
60,-1,-1,65.57377049180327,0.19987507807620236,1
61,-1,-1,66.12903225806451,0.20122699386503057,1
62,-1,-1,65.07936507936508,0.18518518518518529,1
63,-1,-1,65.625,0.18659734257654534,1
64,-1,-1,66.15384615384615,0.18796138557637687,1
65,-1,-1,66.66666666666666,0.1892797319932998,1
66,-1,-1,65.67164179104478,0.1798829164449174,1
67,-1,-1,64.70588235294117,0.16564417177914115,1
68,-1,-1,65.21739130434783,0.16700201207243448,1
69,-1,-1,65.71428571428571,0.16831683168316844,1
70,-1,-1,66.19718309859155,0.16959064327485385,1
71,-1,-1,66.66666666666666,0.1708253358925142,1
72,-1,-1,67.12328767123287,0.17202268431001896,1
73,-1,-1,66.21621621621621,0.16365280289330925,1
74,-1,-1,66.66666666666666,0.16481069042316243,1
75,-1,-1,67.10526315789474,0.1659350307287094,1
76,-1,-1,67.53246753246754,0.16702726092600614,1
